tt0	status	gates	wall_s	chain
08ee	sat	5	0.07	F =  E ; E = !B  &  !D ; D =  d  &  !C ; C =  a  &   A ; B = !a  &  !b ; A =  b  &  !c
08fe	sat	6	0.11	F =  F ; F = !C  &  !E ; E = !B  &  !D ; D =  a  &  !c ; C =  d  &   A ; B = !d  &  !A ; A = !b  &  !c
0996	sat	9	39.20	F =  I ; I = !F  &  !H ; H = !D  &  !G ; G =  C  &  !E ; F =  C  &   D ; E =  c  &   d ; D = !c  &  !d ; C = !A  &  !B ; B = !a  &   b ; A =  a  &  !b
099e	sat	9	41.74	F =  I ; I = !A  &  !H ; H = !E  &   G ; G = !C  &  !F ; F =  a  &  !D ; E = !a  &   D ; D = !b  &  !B ; C =  b  &   B ; B = !c  &  !d ; A =  c  &   d
09ae	sat	7	0.58	F = !G ; G = !A  &  !F ; F = !c  &  !E ; E = !C  &  !D ; D =  b  &  !B ; C = !b  &   B ; B = !a  &   d ; A =  a  &  !d
09b6	sat	9	39.71	F =  I ; I = !D  &  !H ; H = !F  &  !G ; G =  B  &  !E ; F = !B  &   E ; E = !c  &  !C ; D =  d  &   A ; C =  a  &  !b ; B = !d  &  !A ; A = !a  &   b
09be	sat	9	52.99	F = !I ; I = !G  &  !H ; H = !c  &   E ; G = !C  &  !F ; F = !B  &  !D ; E =  b  &  !B ; D = !d  &  !A ; C = !a  &   b ; B =  d  &   A ; A = !a  &  !c
09f6	sat	7	0.59	F = !G ; G = !E  &  !F ; F = !d  &  !D ; E =  d  &   D ; D = !B  &   C ; C = !c  &  !A ; B =  a  &  !b ; A = !a  &   b
0abe	sat	7	0.56	F = !G ; G = !A  &  !F ; F =  D  &  !E ; E =  b  &   B ; D = !d  &  !C ; C = !b  &  !c ; B = !a  &   c ; A =  a  &  !c
0ace	sat	3	0.02	F = !C ; C = !A  &  !B ; B =  b  &  !d ; A =  a  &  !c
0aee	sat	4	0.04	F = !D ; D = !B  &  !C ; C = !d  &  !A ; B =  a  &  !c ; A = !a  &  !b
0afa	sat	3	0.02	F = !C ; C = !A  &  !B ; B =  a  &  !c ; A =  c  &  !d
0bb6	sat	9	40.55	F =  I ; I = !C  &  !H ; H =  E  &  !G ; G = !B  &  !F ; F =  d  &   A ; E = !c  &  !D ; D =  a  &  !b ; C =  c  &  !B ; B = !d  &  !A ; A = !a  &   b
0bd6	sat	7	0.64	F = !G ; G = !E  &  !F ; F =  C  &  !D ; E = !C  &   D ; D = !d  &  !B ; C = !c  &  !A ; B =  a  &  !b ; A = !a  &   b
0bf2	sat	7	0.53	F = !G ; G = !B  &  !F ; F = !D  &   E ; E = !c  &  !C ; D = !a  &  !A ; C =  b  &  !d ; B =  c  &  !d ; A = !b  &   d
0ff0	sat	3	0.02	F = !C ; C = !A  &  !B ; B = !c  &   d ; A =  c  &  !d
1668	sat	9	23.52	F = !I ; I = !G  &  !H ; H = !E  &  !F ; G =  E  &   F ; F = !A  &  !D ; E = !B  &  !C ; D = !b  &  !d ; C =  b  &   d ; B =  a  &   c ; A = !a  &  !c
166a	sat	9	49.39	F = !I ; I = !F  &  !H ; H = !D  &   G ; G = !a  &  !E ; F =  a  &   E ; E = !B  &  !C ; D =  d  &   C ; C =  b  &   c ; B =  d  &  !A ; A = !b  &  !c
166e	sat	9	41.54	F = !I ; I = !F  &  !H ; H = !E  &   G ; G = !B  &  !D ; F =  D  &   E ; E =  c  &  !C ; D = !a  &  !b ; C = !d  &  !A ; B =  d  &   A ; A =  a  &   b
167e	sat	9	64.75	F =  I ; I = !E  &  !H ; H =  F  &  !G ; G = !A  &  !D ; F =  d  &  !B ; E = !C  &  !D ; D =  c  &  !A ; C = !c  &  !B ; B = !a  &  !b ; A =  a  &   b
1686	sat	9	40.98	F =  I ; I = !G  &  !H ; H =  D  &  !F ; G = !D  &   F ; F = !A  &  !E ; E = !a  &  !b ; D = !B  &  !C ; C =  c  &  !A ; B =  a  &   b ; A =  c  &  !d
168e	sat	9	53.64	F =  I ; I = !G  &  !H ; H =  C  &  !D ; G = !b  &  !F ; F = !A  &  !E ; E =  c  &  !B ; D =  a  &  !d ; C =  b  &  !A ; B = !a  &   d ; A = !a  &  !c
1696	sat	8	3.37	F =  H ; H = !E  &   G ; G = !D  &  !F ; F = !a  &  !C ; E =  d  &   B ; D =  a  &   C ; C = !A  &  !B ; B =  b  &   c ; A = !b  &  !c
1698	sat	9	32.74	F = !I ; I =  G  &  !H ; H =  E  &   F ; G = !C  &  !D ; F = !c  &   d ; E = !A  &  !B ; D =  c  &   A ; C = !d  &   B ; B =  a  &   b ; A = !a  &  !b
169a	sat	8	3.27	F = !H ; H = !F  &  !G ; G =  a  &  !E ; F =  C  &   E ; E = !B  &  !D ; D =  b  &  !d ; C = !a  &  !A ; B = !b  &  !c ; A =  b  &   c
169e	sat	8	2.98	F =  H ; H = !E  &  !G ; G = !C  &  !F ; F =  c  &  !D ; E =  d  &   B ; D = !A  &  !B ; C = !c  &  !A ; B =  a  &   b ; A = !a  &  !b
16ac	sat	9	41.98	F =  I ; I = !C  &   H ; H = !E  &  !G ; G = !D  &   F ; F = !a  &   c ; E =  A  &  !B ; D = !b  &   d ; C = !A  &   B ; B =  a  &   d ; A = !b  &  !c
16bc	sat	8	2.13	F = !H ; H = !E  &  !G ; G = !C  &   F ; F = !B  &  !D ; E =  B  &   D ; D =  a  &   d ; C =  b  &   A ; B = !b  &  !c ; A = !a  &   c
177e	sat	9	64.98	F =  I ; I = !G  &  !H ; H = !D  &   F ; G = !B  &  !E ; F =  a  &   d ; E = !C  &  !D ; D = !b  &  !c ; C =  c  &  !A ; B = !b  &  !A ; A = !a  &  !d
178e	sat	8	3.97	F =  H ; H = !F  &  !G ; G =  d  &   C ; F =  D  &  !E ; E =  d  &   A ; D = !B  &  !C ; C =  a  &   b ; B = !c  &  !A ; A = !a  &  !b
1796	sat	9	34.56	F = !I ; I = !G  &  !H ; H = !c  &   F ; G = !D  &  !F ; F = !A  &  !E ; E = !a  &  !b ; D = !B  &  !C ; C = !a  &   d ; B =  c  &  !d ; A =  a  &   b
1798	sat	8	2.81	F =  H ; H = !D  &  !G ; G = !A  &   F ; F = !C  &  !E ; E =  c  &   B ; D =  d  &   A ; C = !c  &   d ; B = !a  &  !b ; A =  a  &   b
179a	sat	8	3.91	F = !H ; H = !E  &  !G ; G = !B  &   F ; F =  a  &  !A ; E = !a  &  !D ; D = !A  &  !C ; C = !c  &   d ; B =  b  &   d ; A = !b  &   c
17ac	sat	8	4.03	F = !H ; H = !D  &  !G ; G = !B  &  !F ; F = !C  &  !E ; E = !c  &  !A ; D = !d  &   B ; C = !b  &   d ; B =  a  &  !A ; A = !b  &  !c
17e8	sat	7	0.80	F =  G ; G = !E  &  !F ; F = !d  &   D ; E =  d  &  !D ; D = !B  &  !C ; C =  a  &   c ; B =  b  &  !A ; A = !a  &  !c
1886	sat	11	150.76	F =  K ; K = !H  &  !J ; J = !E  &  !I ; I = !D  &  !G ; H =  E  &  !G ; G = !d  &  !F ; F = !B  &  !C ; E =  c  &  !C ; D =  A  &  !B ; C = !a  &  !b ; B =  a  &   b ; A = !c  &   d
1896	sat	9	60.34	F =  I ; I = !G  &  !H ; H = !c  &  !F ; G = !E  &   F ; F = !B  &  !C ; E = !c  &  !D ; D =  d  &  !A ; C = !a  &  !b ; B = !d  &   A ; A =  a  &   b
18a6	sat	10	104.83	F =  J ; J = !E  &   I ; I = !F  &  !H ; H = !D  &   G ; G = !B  &  !C ; F =  C  &   D ; E = !A  &   B ; D =  b  &  !c ; C =  a  &  !d ; B = !a  &   d ; A = !b  &   c
18b6	sat	9	68.64	F =  I ; I = !E  &  !H ; H =  a  &  !G ; G = !B  &  !F ; F =  d  &  !A ; E =  C  &  !D ; D = !b  &   c ; C = !a  &  !B ; B = !d  &   A ; A =  b  &  !c
18e6	sat	9	24.55	F = !I ; I = !G  &  !H ; H = !E  &   F ; G = !d  &   E ; F =  d  &  !A ; E = !C  &  !D ; D = !a  &  !b ; C =  b  &   B ; B =  a  &  !c ; A = !b  &  !c
1996	sat	9	43.42	F =  I ; I = !G  &  !H ; H =  D  &  !F ; G = !D  &   F ; F = !C  &  !E ; E =  b  &   B ; D = !c  &  !d ; C = !a  &  !b ; B =  a  &  !A ; A =  c  &   d
19a6	sat	8	3.69	F =  H ; H = !F  &  !G ; G = !D  &   E ; F =  D  &  !E ; E =  b  &  !B ; D = !A  &  !C ; C =  a  &  !d ; B =  c  &  !A ; A = !a  &   d
19b6	sat	9	35.21	F =  I ; I = !G  &  !H ; H =  D  &  !F ; G = !D  &   F ; F = !A  &  !E ; E = !d  &  !C ; D =  b  &  !B ; C = !a  &  !c ; B =  a  &   c ; A = !a  &   d
19e6	sat	7	0.45	F =  G ; G = !E  &  !F ; F =  d  &  !D ; E = !d  &   D ; D = !A  &  !C ; C =  b  &  !B ; B =  a  &  !c ; A =  a  &  !b
1ab6	sat	9	35.10	F =  I ; I = !G  &  !H ; H =  a  &  !F ; G =  C  &  !E ; F = !A  &  !E ; E = !d  &   D ; D =  b  &  !c ; C = !a  &  !B ; B = !b  &   c ; A =  c  &   d
1ac6	sat	9	25.49	F = !I ; I = !G  &  !H ; H =  E  &  !F ; G = !E  &   F ; F = !C  &  !D ; E =  a  &  !c ; D =  d  &  !B ; C = !b  &  !A ; B = !a  &  !b ; A =  c  &   d
1ae6	sat	9	22.61	F = !I ; I = !G  &  !H ; H = !a  &  !E ; G = !D  &   F ; F =  a  &  !B ; E = !A  &  !C ; D = !c  &   A ; C = !b  &   B ; B =  c  &   d ; A =  b  &  !d
1bd8	sat	9	62.92	F =  I ; I = !D  &  !H ; H = !E  &   G ; G =  d  &  !F ; F = !a  &  !b ; E =  a  &  !c ; D = !d  &  !C ; C = !A  &  !B ; B = !a  &  !c ; A =  a  &  !b
1be4	sat	6	0.11	F = !F ; F = !D  &  !E ; E = !d  &  !C ; D =  d  &   C ; C = !A  &  !B ; B = !a  &   b ; A =  a  &   c
28be	sat	7	0.31	F = !G ; G = !A  &  !F ; F = !C  &   E ; E = !B  &  !D ; D = !a  &   d ; C = !b  &  !c ; B =  b  &   c ; A =  a  &  !d
2996	sat	10	108.22	F = !J ; J = !H  &  !I ; I =  F  &   G ; H = !F  &  !G ; G = !C  &  !D ; F = !A  &  !E ; E =  B  &  !C ; D =  a  &  !b ; C = !a  &   b ; B =  c  &   d ; A = !c  &  !d
299e	sat	10	107.00	F = !J ; J = !H  &  !I ; I = !b  &  !G ; H =  C  &  !F ; G = !E  &  !F ; F = !a  &   D ; E =  a  &  !D ; D = !A  &  !B ; C =  b  &  !B ; B =  c  &   d ; A = !c  &  !d
29d6	sat	9	41.86	F = !I ; I = !G  &  !H ; H = !d  &   F ; G =  d  &  !F ; F = !D  &  !E ; E =  b  &   A ; D = !b  &   C ; C = !A  &  !B ; B = !a  &   c ; A =  a  &  !c
2dd2	sat	7	0.51	F =  G ; G = !E  &  !F ; F =  B  &   D ; E = !B  &  !D ; D = !A  &  !C ; C = !c  &  !d ; B =  a  &  !b ; A =  c  &   d
6996	sat	9	25.84	F = !I ; I = !G  &  !H ; H = !d  &   F ; G =  d  &  !F ; F = !D  &  !E ; E =  c  &   C ; D = !c  &  !C ; C = !A  &  !B ; B =  a  &   b ; A = !a  &  !b
80fe	sat	6	0.11	F = !F ; F = !D  &  !E ; E = !d  &  !B ; D =  a  &  !C ; C =  d  &  !A ; B = !b  &  !c ; A =  b  &   c
817e	sat	8	2.27	F =  H ; H = !F  &  !G ; G = !d  &   E ; F =  d  &  !E ; E = !B  &  !D ; D =  a  &  !C ; C =  b  &   c ; B = !a  &  !A ; A = !b  &  !c
82be	sat	6	0.11	F =  F ; F = !D  &  !E ; E = !a  &  !C ; D =  d  &   C ; C = !A  &  !B ; B =  b  &   c ; A = !b  &  !c
833e	sat	9	17.26	F =  I ; I = !F  &  !H ; H = !c  &  !G ; G = !B  &  !D ; F =  c  &   E ; E = !A  &  !C ; D = !a  &   A ; C =  a  &   B ; B =  b  &   d ; A = !b  &  !d
88ee	sat	4	0.04	F = !D ; D = !B  &  !C ; C =  a  &  !A ; B =  b  &  !d ; A = !b  &   d
9696	sat	6	0.12	F =  F ; F = !D  &  !E ; E = !b  &  !C ; D =  b  &   C ; C = !A  &  !B ; B = !a  &  !c ; A =  a  &   c
aaaa	sat	0	0.01	F =  a
