tt0	tt1	status	gates	wall_s	chain
06	68	sat	7	0.20	F0 =  G ; F1 =  F ; G =  C  &   D ; F = !D  &  !E ; E =  c  &  !C ; D = !c  &  !B ; C = !A  &  !B ; B =  a  &   b ; A = !a  &  !b
06	6a	sat	7	0.20	F0 =  F ; F1 = !G ; G = !D  &  !E ; F = !c  &   C ; E =  c  &   C ; D =  a  &  !c ; C = !A  &  !B ; B =  a  &   b ; A = !a  &  !b
06	6e	sat	6	0.09	F0 =  D ; F1 = !F ; F = !C  &  !E ; E = !c  &  !A ; D = !c  &   C ; C = !A  &  !B ; B =  a  &   b ; A = !a  &  !b
06	70	sat	5	0.05	F0 =  D ; F1 =  E ; E =  c  &  !A ; D = !A  &   C ; C = !c  &  !B ; B = !a  &  !b ; A =  a  &   b
06	72	sat	6	0.08	F0 = !F ; F1 =  C ; F = !D  &  !E ; E =  b  &   B ; D = !c  &   C ; C = !A  &  !B ; B = !a  &  !c ; A =  a  &   b
06	76	sat	5	0.05	F0 =  E ; F1 = !D ; E = !c  &  !D ; D = !A  &  !C ; C = !b  &  !B ; B = !a  &  !c ; A = !a  &   b
06	88	sat	4	0.03	F0 =  D ; F1 =  A ; D =  B  &  !C ; C = !a  &  !b ; B = !c  &  !A ; A =  a  &   b
06	8a	sat	6	0.09	F0 =  E ; F1 =  F ; F =  a  &  !C ; E = !C  &  !D ; D =  b  &  !B ; C = !b  &  !A ; B = !c  &  !A ; A =  a  &  !c
06	8e	sat	5	0.05	F0 =  E ; F1 =  D ; E = !A  &   D ; D = !B  &  !C ; C =  c  &  !A ; B = !a  &  !b ; A =  a  &   b
06	90	sat	5	0.05	F0 =  D ; F1 =  E ; E =  c  &  !C ; D = !c  &   C ; C = !A  &  !B ; B =  a  &   b ; A = !a  &  !b
06	92	sat	7	0.20	F0 =  D ; F1 = !G ; G = !E  &  !F ; F = !c  &   A ; E =  c  &   C ; D = !c  &  !C ; C = !A  &  !B ; B = !a  &   b ; A =  a  &  !b
06	96	sat	6	0.09	F0 =  D ; F1 = !F ; F = !D  &  !E ; E =  c  &   C ; D = !c  &  !C ; C = !A  &  !B ; B = !a  &   b ; A =  a  &  !b
06	a8	sat	5	0.05	F0 =  E ; F1 =  B ; E = !B  &  !D ; D = !a  &  !C ; C = !c  &  !A ; B =  a  &  !A ; A = !b  &  !c
06	aa	sat	4	0.03	F0 =  D ; F1 =  a ; D =  B  &  !C ; C = !a  &  !b ; B = !c  &  !A ; A =  a  &   b
